,index,code,prompt,bad_prompt,bad_code,prompt_names_dict,numerical_prompt,numerical_code,prompt_numerical_dict
0,0,"def cellname(x, y):
    ""Translate a cell coordinate to a fancy cell name (e.g. (1, 1)->'A1').""
    assert x > 0 # Column 0 has an empty name, so can't use that
    return colnum2name(x) + str(y)","def str(val):
    """"""Convert float to string, taking the locale into account.""""""
    return _format(""%.12g"", val)

def colnum2name(n):
    ""Translate a column number to name (e.g. 1->'A', etc.).""
    assert n > 0
    s = """"
    while n:
        n, m = divmod(n-1, 26)
        s = chr(m+ord('A')) + s
    return s","def locale_aware_float_to_string(val):
    """"""Convert float to locale_aware_float_to_stringing, taking the locale into account.""""""
    return _format(""%.12g"", val)

def convert_column_number_to_name(n):
    ""Translate a column number to name (e.g. 1->'A', etc.).""
    assert n > 0
    s = """"
    while n:
        n, m = divmod(n-1, 26)
        s = chr(m+ord('A')) + s
    return s","def generate_cell_name(x, y):
    ""Translate a cell coordinate to a fancy cell name (e.g. (1, 1)->'A1').""
    assert x > 0 # Column 0 has an empty name, so can't use that
    return convert_column_number_to_name(x) + locale_aware_float_to_string(y)","{""str"": ""locale_aware_float_to_string"", ""colnum2name"": ""convert_column_number_to_name""}","def 0(val):
    """"""Convert float to string, taking the locale into account.""""""
    return _format(""%.12g"", val)

def 1(n):
    ""Translate a column number to name (e.g. 1->'A', etc.).""
    assert n > 0
    s = """"
    while n:
        n, m = divmod(n-1, 26)
        s = chr(m+ord('A')) + s
    return s","def 2(x, y):
    ""Translate a cell coordinate to a fancy cell name (e.g. (1, 1)->'A1').""
    assert x > 0 # Column 0 has an empty name, so can't use that
    return 1(x) + 0(y)","{""str"": ""0"", ""colnum2name"": ""1""}"
1,1,"def test_basic():
    ""Basic non-gui self-test.""
    a = Sheet()
    for x in range(1, 11):
        for y in range(1, 11):
            if x == 1:
                cell = NumericCell(y)
            elif y == 1:
                cell = NumericCell(x)
            else:
                c1 = cellname(x, 1)
                c2 = cellname(1, y)
                formula = ""%s*%s"" % (c1, c2)
                cell = FormulaCell(formula)
            a.setcell(x, y, cell)
##    if os.path.isfile(""sheet1.xml""):
##        print ""Loading from sheet1.xml""
##        a.load(""sheet1.xml"")
    a.display()
    a.save(""sheet1.xml"")","def cellname(x, y):
    ""Translate a cell coordinate to a fancy cell name (e.g. (1, 1)->'A1').""
    assert x > 0 # Column 0 has an empty name, so can't use that
    return colnum2name(x) + str(y)","def generate_cell_name(x, y):
    ""Translate a cell coordinate to a fancy cell name (e.g. (1, 1)->'A1').""
    assert x > 0 # Column 0 has an empty name, so can't use that
    return colnum2name(x) + str(y)","def perform_basic_non_gui_self_test():
    ""Basic non-gui self-test.""
    a = Sheet()
    for x in range(1, 11):
        for y in range(1, 11):
            if x == 1:
                cell = NumericCell(y)
            elif y == 1:
                cell = NumericCell(x)
            else:
                c1 = generate_cell_name(x, 1)
                c2 = generate_cell_name(1, y)
                formula = ""%s*%s"" % (c1, c2)
                cell = FormulaCell(formula)
            a.setcell(x, y, cell)
##    if os.path.isfile(""sheet1.xml""):
##        print ""Loading from sheet1.xml""
##        a.load(""sheet1.xml"")
    a.display()
    a.save(""sheet1.xml"")","{""cellname"": ""generate_cell_name""}","def 0(x, y):
    ""Translate a cell coordinate to a fancy cell name (e.g. (1, 1)->'A1').""
    assert x > 0 # Column 0 has an empty name, so can't use that
    return colnum2name(x) + str(y)","def 1():
    ""Basic non-gui self-test.""
    a = Sheet()
    for x in range(1, 11):
        for y in range(1, 11):
            if x == 1:
                cell = NumericCell(y)
            elif y == 1:
                cell = NumericCell(x)
            else:
                c1 = 0(x, 1)
                c2 = 0(1, y)
                formula = ""%s*%s"" % (c1, c2)
                cell = FormulaCell(formula)
            a.setcell(x, y, cell)
##    if os.path.isfile(""sheet1.xml""):
##        print ""Loading from sheet1.xml""
##        a.load(""sheet1.xml"")
    a.display()
    a.save(""sheet1.xml"")","{""cellname"": ""0""}"
2,2,"def display_menu(stdscr, menu_y):
    ""Display the menu of possible keystroke commands""
    erase_menu(stdscr, menu_y)

    # If color, then light the menu up :-)
    if curses.has_colors():
        stdscr.attrset(curses.color_pair(1))
    stdscr.addstr(menu_y, 4,
        'Use the cursor keys to move, and space or Enter to toggle a cell.')
    stdscr.addstr(menu_y + 1, 4,
        'E)rase the board, R)andom fill, S)tep once or C)ontinuously, Q)uit')
    stdscr.attrset(0)","def erase_menu(stdscr, menu_y):
    ""Clear the space where the menu resides""
    stdscr.move(menu_y, 0)
    stdscr.clrtoeol()
    stdscr.move(menu_y + 1, 0)
    stdscr.clrtoeol()","def erase_menu_clears_menu_space(stdscr, menu_y):
    ""Clear the space where the menu resides""
    stdscr.move(menu_y, 0)
    stdscr.clrtoeol()
    stdscr.move(menu_y + 1, 0)
    stdscr.clrtoeol()","def display_menu_commands_and_instructions(stdscr, menu_y):
    ""Display the menu of possible keystroke commands""
    erase_menu_clears_menu_space(stdscr, menu_y)

    # If color, then light the menu up :-)
    if curses.has_colors():
        stdscr.attrset(curses.color_pair(1))
    stdscr.addstr(menu_y, 4,
        'Use the cursor keys to move, and space or Enter to toggle a cell.')
    stdscr.addstr(menu_y + 1, 4,
        'E)rase the board, R)andom fill, S)tep once or C)ontinuously, Q)uit')
    stdscr.attrset(0)","{""erase_menu"": ""erase_menu_clears_menu_space""}","def 0(stdscr, menu_y):
    ""Clear the space where the menu resides""
    stdscr.move(menu_y, 0)
    stdscr.clrtoeol()
    stdscr.move(menu_y + 1, 0)
    stdscr.clrtoeol()","def 1(stdscr, menu_y):
    ""Display the menu of possible keystroke commands""
    0(stdscr, menu_y)

    # If color, then light the menu up :-)
    if curses.has_colors():
        stdscr.attrset(curses.color_pair(1))
    stdscr.addstr(menu_y, 4,
        'Use the cursor keys to move, and space or Enter to toggle a cell.')
    stdscr.addstr(menu_y + 1, 4,
        'E)rase the board, R)andom fill, S)tep once or C)ontinuously, Q)uit')
    stdscr.attrset(0)","{""erase_menu"": ""0""}"
3,3,"def merge_profile():
    """"""Reads sys.getdxp() and merges it into this module's cached copy.

    We need this because sys.getdxp() 0s itself every time it's called.""""""

    with _profile_lock:
        new_profile = sys.getdxp()
        if has_pairs(new_profile):
            for first_inst in range(len(_cumulative_profile)):
                for second_inst in range(len(_cumulative_profile[first_inst])):
                    _cumulative_profile[first_inst][second_inst] += (
                        new_profile[first_inst][second_inst])
        else:
            for inst in range(len(_cumulative_profile)):
                _cumulative_profile[inst] += new_profile[inst]","def has_pairs(profile):
    """"""Returns True if the Python that produced the argument profile
    was built with -DDXPAIRS.""""""

    return len(profile) > 0 and isinstance(profile[0], list)","def check_for_pairs(profile):
    """"""Returns True if the Python that produced the argument profile
    was built with -DDXPAIRS.""""""

    return len(profile) > 0 and isinstance(profile[0], list)","def merge_profile_into_module_cached_copy():
    """"""Reads sys.getdxp() and merges it into this module's cached copy.

    We need this because sys.getdxp() 0s itself every time it's called.""""""

    with _profile_lock:
        new_profile = sys.getdxp()
        if check_for_pairs(new_profile):
            for first_inst in range(len(_cumulative_profile)):
                for second_inst in range(len(_cumulative_profile[first_inst])):
                    _cumulative_profile[first_inst][second_inst] += (
                        new_profile[first_inst][second_inst])
        else:
            for inst in range(len(_cumulative_profile)):
                _cumulative_profile[inst] += new_profile[inst]","{""has_pairs"": ""check_for_pairs""}","def 0(profile):
    """"""Returns True if the Python that produced the argument profile
    was built with -DDXPAIRS.""""""

    return len(profile) > 0 and isinstance(profile[0], list)","def 1():
    """"""Reads sys.getdxp() and merges it into this module's cached copy.

    We need this because sys.getdxp() 0s itself every time it's called.""""""

    with _profile_lock:
        new_profile = sys.getdxp()
        if 0(new_profile):
            for first_inst in range(len(_cumulative_profile)):
                for second_inst in range(len(_cumulative_profile[first_inst])):
                    _cumulative_profile[first_inst][second_inst] += (
                        new_profile[first_inst][second_inst])
        else:
            for inst in range(len(_cumulative_profile)):
                _cumulative_profile[inst] += new_profile[inst]","{""has_pairs"": ""0""}"
4,4,"def snapshot_profile():
    """"""Returns the cumulative execution profile until this call.""""""
    with _profile_lock:
        merge_profile()
        return copy.deepcopy(_cumulative_profile)","def merge_profile():
    """"""Reads sys.getdxp() and merges it into this module's cached copy.

    We need this because sys.getdxp() 0s itself every time it's called.""""""

    with _profile_lock:
        new_profile = sys.getdxp()
        if has_pairs(new_profile):
            for first_inst in range(len(_cumulative_profile)):
                for second_inst in range(len(_cumulative_profile[first_inst])):
                    _cumulative_profile[first_inst][second_inst] += (
                        new_profile[first_inst][second_inst])
        else:
            for inst in range(len(_cumulative_profile)):
                _cumulative_profile[inst] += new_profile[inst]","def merge_profile_into_module_cached_copy():
    """"""Reads sys.getdxp() and merges it into this module's cached copy.

    We need this because sys.getdxp() 0s itself every time it's called.""""""

    with _profile_lock:
        new_profile = sys.getdxp()
        if has_pairs(new_profile):
            for first_inst in range(len(_cumulative_profile)):
                for second_inst in range(len(_cumulative_profile[first_inst])):
                    _cumulative_profile[first_inst][second_inst] += (
                        new_profile[first_inst][second_inst])
        else:
            for inst in range(len(_cumulative_profile)):
                _cumulative_profile[inst] += new_profile[inst]","def get_cumulative_execution_profile():
    """"""Returns the cumulative execution profile until this call.""""""
    with _profile_lock:
        merge_profile_into_module_cached_copy()
        return copy.deepcopy(_cumulative_profile)","{""merge_profile"": ""merge_profile_into_module_cached_copy""}","def 0():
    """"""Reads sys.getdxp() and merges it into this module's cached copy.

    We need this because sys.getdxp() 0s itself every time it's called.""""""

    with _profile_lock:
        new_profile = sys.getdxp()
        if has_pairs(new_profile):
            for first_inst in range(len(_cumulative_profile)):
                for second_inst in range(len(_cumulative_profile[first_inst])):
                    _cumulative_profile[first_inst][second_inst] += (
                        new_profile[first_inst][second_inst])
        else:
            for inst in range(len(_cumulative_profile)):
                _cumulative_profile[inst] += new_profile[inst]","def 1():
    """"""Returns the cumulative execution profile until this call.""""""
    with _profile_lock:
        0()
        return copy.deepcopy(_cumulative_profile)","{""merge_profile"": ""0""}"
5,5,"def common_instructions(profile):
    """"""Returns the most common opcodes in order of descending frequency.

    The result is a list of tuples of the form
      (opcode, opname, # of occurrences)

    """"""
    if has_pairs(profile) and profile:
        inst_list = profile[-1]
    else:
        inst_list = profile
    result = [(op, opcode.opname[op], count)
              for op, count in enumerate(inst_list)
              if count > 0]
    result.sort(key=operator.itemgetter(2), reverse=True)
    return result","def has_pairs(profile):
    """"""Returns True if the Python that produced the argument profile
    was built with -DDXPAIRS.""""""

    return len(profile) > 0 and isinstance(profile[0], list)

def enumerate():
    """"""Return a list of all Thread objects currently alive.

    The list includes daemonic threads, dummy thread objects created by
    current_thread(), and the main thread. It excludes terminated threads and
    threads that have not yet been started.

    """"""
    with _active_limbo_lock:
        return list(_active.values()) + list(_limbo.values())","def check_for_pairs(profile):
    """"""Returns True if the Python that produced the argument profile
    was built with -DDXPAIRS.""""""

    return len(profile) > 0 and isinstance(profile[0], list)

def get_alive_threads():
    """"""Return a list of all Thread objects currently alive.

    The list includes daemonic threads, dummy thread objects created by
    current_thread(), and the main thread. It excludes terminated threads and
    threads that have not yet been started.

    """"""
    with _active_limbo_lock:
        return list(_active.values()) + list(_limbo.values())","def get_most_common_opcodes(profile):
    """"""Returns the most common opcodes in order of descending frequency.

    The result is a list of tuples of the form
      (opcode, opname, # of occurrences)

    """"""
    if check_for_pairs(profile) and profile:
        inst_list = profile[-1]
    else:
        inst_list = profile
    result = [(op, opcode.opname[op], count)
              for op, count in get_alive_threads(inst_list)
              if count > 0]
    result.sort(key=operator.itemgetter(2), reverse=True)
    return result","{""has_pairs"": ""check_for_pairs"", ""enumerate"": ""get_alive_threads""}","def 0(profile):
    """"""Returns True if the Python that produced the argument profile
    was built with -DDXPAIRS.""""""

    return len(profile) > 0 and isinstance(profile[0], list)

def 1():
    """"""Return a list of all Thread objects currently alive.

    The list includes daemonic threads, dummy thread objects created by
    current_thread(), and the main thread. It excludes terminated threads and
    threads that have not yet been started.

    """"""
    with _active_limbo_lock:
        return list(_active.values()) + list(_limbo.values())","def 2(profile):
    """"""Returns the most common opcodes in order of descending frequency.

    The result is a list of tuples of the form
      (opcode, opname, # of occurrences)

    """"""
    if 0(profile) and profile:
        inst_list = profile[-1]
    else:
        inst_list = profile
    result = [(op, opcode.opname[op], count)
              for op, count in 1(inst_list)
              if count > 0]
    result.sort(key=operator.itemgetter(2), reverse=True)
    return result","{""has_pairs"": ""0"", ""enumerate"": ""1""}"
6,6,"def common_pairs(profile):
    """"""Returns the most common opcode pairs in order of descending frequency.

    The result is a list of tuples of the form
      ((1st opcode, 2nd opcode),
       (1st opname, 2nd opname),
       # of occurrences of the pair)

    """"""
    if not has_pairs(profile):
        return []
    result = [((op1, op2), (opcode.opname[op1], opcode.opname[op2]), count)
              # Drop the row of single-op profiles with [:-1]
              for op1, op1profile in enumerate(profile[:-1])
              for op2, count in enumerate(op1profile)
              if count > 0]
    result.sort(key=operator.itemgetter(2), reverse=True)
    return result","def has_pairs(profile):
    """"""Returns True if the Python that produced the argument profile
    was built with -DDXPAIRS.""""""

    return len(profile) > 0 and isinstance(profile[0], list)

def enumerate():
    """"""Return a list of all Thread objects currently alive.

    The list includes daemonic threads, dummy thread objects created by
    current_thread(), and the main thread. It excludes terminated threads and
    threads that have not yet been started.

    """"""
    with _active_limbo_lock:
        return list(_active.values()) + list(_limbo.values())","def check_for_pairs(profile):
    """"""Returns True if the Python that produced the argument profile
    was built with -DDXPAIRS.""""""

    return len(profile) > 0 and isinstance(profile[0], list)

def get_alive_threads():
    """"""Return a list of all Thread objects currently alive.

    The list includes daemonic threads, dummy thread objects created by
    current_thread(), and the main thread. It excludes terminated threads and
    threads that have not yet been started.

    """"""
    with _active_limbo_lock:
        return list(_active.values()) + list(_limbo.values())","def find_most_common_opcode_pairs(profile):
    """"""Returns the most common opcode pairs in order of descending frequency.

    The result is a list of tuples of the form
      ((1st opcode, 2nd opcode),
       (1st opname, 2nd opname),
       # of occurrences of the pair)

    """"""
    if not check_for_pairs(profile):
        return []
    result = [((op1, op2), (opcode.opname[op1], opcode.opname[op2]), count)
              # Drop the row of single-op profiles with [:-1]
              for op1, op1profile in get_alive_threads(profile[:-1])
              for op2, count in get_alive_threads(op1profile)
              if count > 0]
    result.sort(key=operator.itemgetter(2), reverse=True)
    return result","{""has_pairs"": ""check_for_pairs"", ""enumerate"": ""get_alive_threads""}","def 0(profile):
    """"""Returns True if the Python that produced the argument profile
    was built with -DDXPAIRS.""""""

    return len(profile) > 0 and isinstance(profile[0], list)

def 1():
    """"""Return a list of all Thread objects currently alive.

    The list includes daemonic threads, dummy thread objects created by
    current_thread(), and the main thread. It excludes terminated threads and
    threads that have not yet been started.

    """"""
    with _active_limbo_lock:
        return list(_active.values()) + list(_limbo.values())","def 2(profile):
    """"""Returns the most common opcode pairs in order of descending frequency.

    The result is a list of tuples of the form
      ((1st opcode, 2nd opcode),
       (1st opname, 2nd opname),
       # of occurrences of the pair)

    """"""
    if not 0(profile):
        return []
    result = [((op1, op2), (opcode.opname[op1], opcode.opname[op2]), count)
              # Drop the row of single-op profiles with [:-1]
              for op1, op1profile in 1(profile[:-1])
              for op2, count in 1(op1profile)
              if count > 0]
    result.sort(key=operator.itemgetter(2), reverse=True)
    return result","{""has_pairs"": ""0"", ""enumerate"": ""1""}"
7,7,"def render_common_pairs(profile=None):
    """"""Renders the most common opcode pairs to a string in order of
    descending frequency.

    The result is a series of lines of the form:
      # of occurrences: ('1st opname', '2nd opname')

    """"""
    if profile is None:
        profile = snapshot_profile()
    def seq():
        for _, ops, count in common_pairs(profile):
            yield ""%s: %s\n"" % (count, ops)
    return ''.join(seq())","def common_pairs(profile):
    """"""Returns the most common opcode pairs in order of descending frequency.

    The result is a list of tuples of the form
      ((1st opcode, 2nd opcode),
       (1st opname, 2nd opname),
       # of occurrences of the pair)

    """"""
    if not has_pairs(profile):
        return []
    result = [((op1, op2), (opcode.opname[op1], opcode.opname[op2]), count)
              # Drop the row of single-op profiles with [:-1]
              for op1, op1profile in enumerate(profile[:-1])
              for op2, count in enumerate(op1profile)
              if count > 0]
    result.sort(key=operator.itemgetter(2), reverse=True)
    return result

def snapshot_profile():
    """"""Returns the cumulative execution profile until this call.""""""
    with _profile_lock:
        merge_profile()
        return copy.deepcopy(_cumulative_profile)","def find_most_common_opcode_pairs(profile):
    """"""Returns the most common opcode pairs in order of descending frequency.

    The result is a list of tuples of the form
      ((1st opcode, 2nd opcode),
       (1st opname, 2nd opname),
       # of occurrences of the pair)

    """"""
    if not has_pairs(profile):
        return []
    result = [((op1, op2), (opcode.opname[op1], opcode.opname[op2]), count)
              # Drop the row of single-op profiles with [:-1]
              for op1, op1profile in enumerate(profile[:-1])
              for op2, count in enumerate(op1profile)
              if count > 0]
    result.sort(key=operator.itemgetter(2), reverse=True)
    return result

def get_cumulative_execution_profile():
    """"""Returns the cumulative execution profile until this call.""""""
    with _profile_lock:
        merge_profile()
        return copy.deepcopy(_cumulative_profile)","def render_find_most_common_opcode_pairs(profile=None):
    """"""Renders the most common opcode pairs to a string in order of
    descending frequency.

    The result is a series of lines of the form:
      # of occurrences: ('1st opname', '2nd opname')

    """"""
    if profile is None:
        profile = get_cumulative_execution_profile()
    def generate_sequence_of_opcode_pairs():
        for _, ops, count in find_most_common_opcode_pairs(profile):
            yield ""%s: %s\n"" % (count, ops)
    return ''.join(generate_sequence_of_opcode_pairs())","{""common_pairs"": ""find_most_common_opcode_pairs"", ""snapshot_profile"": ""get_cumulative_execution_profile""}","def 0(profile):
    """"""Returns the most common opcode pairs in order of descending frequency.

    The result is a list of tuples of the form
      ((1st opcode, 2nd opcode),
       (1st opname, 2nd opname),
       # of occurrences of the pair)

    """"""
    if not has_pairs(profile):
        return []
    result = [((op1, op2), (opcode.opname[op1], opcode.opname[op2]), count)
              # Drop the row of single-op profiles with [:-1]
              for op1, op1profile in enumerate(profile[:-1])
              for op2, count in enumerate(op1profile)
              if count > 0]
    result.sort(key=operator.itemgetter(2), reverse=True)
    return result

def 1():
    """"""Returns the cumulative execution profile until this call.""""""
    with _profile_lock:
        merge_profile()
        return copy.deepcopy(_cumulative_profile)","def render_0(profile=None):
    """"""Renders the most common opcode pairs to a string in order of
    descending frequency.

    The result is a series of lines of the form:
      # of occurrences: ('1st opname', '2nd opname')

    """"""
    if profile is None:
        profile = 1()
    def 3():
        for _, ops, count in 0(profile):
            yield ""%s: %s\n"" % (count, ops)
    return ''.join(3())","{""common_pairs"": ""0"", ""snapshot_profile"": ""1""}"
8,8,"def build_html_page(classified_text, title='python',
                    css=default_css, html=default_html):
    'Create a complete HTML page with colorized source code'
    css_str = '\n'.join(['%s %s' % item for item in css.items()])
    result = html_highlight(classified_text)
    title = html_module.escape(title)
    return html.format(title=title, css=css_str, body=result)","def html_highlight(classified_text,opener='<pre class=""python"">\n', closer='</pre>\n'):
    'Convert classified text to an HTML fragment'
    result = [opener]
    for kind, text in classified_text:
        if kind:
            result.append('<span class=""%s"">' % kind)
        result.append(html_module.escape(text))
        if kind:
            result.append('</span>')
    result.append(closer)
    return ''.join(result)","def convert_classified_text_to_html(classified_text,opener='<pre class=""python"">\n', closer='</pre>\n'):
    'Convert classified text to an HTML fragment'
    result = [opener]
    for kind, text in classified_text:
        if kind:
            result.append('<span class=""%s"">' % kind)
        result.append(html_module.escape(text))
        if kind:
            result.append('</span>')
    result.append(closer)
    return ''.join(result)","def create_html_page_with_colorized_code(classified_text, title='python',
                    css=default_css, html=default_html):
    'Create a complete HTML page with colorized source code'
    css_str = '\n'.join(['%s %s' % item for item in css.items()])
    result = convert_classified_text_to_html(classified_text)
    title = html_module.escape(title)
    return html.format(title=title, css=css_str, body=result)","{""html_highlight"": ""convert_classified_text_to_html""}","def 0(classified_text,opener='<pre class=""python"">\n', closer='</pre>\n'):
    'Convert classified text to an HTML fragment'
    result = [opener]
    for kind, text in classified_text:
        if kind:
            result.append('<span class=""%s"">' % kind)
        result.append(html_module.escape(text))
        if kind:
            result.append('</span>')
    result.append(closer)
    return ''.join(result)","def 1(classified_text, title='python',
                    css=default_css, html=default_html):
    'Create a complete HTML page with colorized source code'
    css_str = '\n'.join(['%s %s' % item for item in css.items()])
    result = 0(classified_text)
    title = html_module.escape(title)
    return html.format(title=title, css=css_str, body=result)","{""html_highlight"": ""0""}"
9,9,"def latex_highlight(classified_text, title = 'python',
                    commands = default_latex_commands,
                    document = default_latex_document):
    'Create a complete LaTeX document with colorized source code'
    macros = '\n'.join(r'\newcommand{\py%s}[1]{%s}' % c for c in commands.items())
    result = []
    for kind, text in classified_text:
        if kind:
            result.append(r'\py%s{' % kind)
        result.append(alltt_escape(text))
        if kind:
            result.append('}')
    return default_latex_document % dict(title=title, macros=macros, body=''.join(result))","def alltt_escape(s):
    'Replace backslash and braces with their escaped equivalents'
    xlat = {'{': r'\{', '}': r'\}', '\\': r'\textbackslash{}'}
    return re.sub(r'[\\{}]', lambda mo: xlat[mo.group()], s)","def replace_backslash_and_braces_with_escaped_equivalents(s):
    'Replace backslash and braces with their escaped equivalents'
    xlat = {'{': r'\{', '}': r'\}', '\\': r'\textbackslash{}'}
    return re.sub(r'[\\{}]', lambda mo: xlat[mo.group()], s)","def create_latex_document_with_colorized_code(classified_text, title = 'python',
                    commands = default_latex_commands,
                    document = default_latex_document):
    'Create a complete LaTeX document with colorized source code'
    macros = '\n'.join(r'\newcommand{\py%s}[1]{%s}' % c for c in commands.items())
    result = []
    for kind, text in classified_text:
        if kind:
            result.append(r'\py%s{' % kind)
        result.append(replace_backslash_and_braces_with_escaped_equivalents(text))
        if kind:
            result.append('}')
    return default_latex_document % dict(title=title, macros=macros, body=''.join(result))","{""alltt_escape"": ""replace_backslash_and_braces_with_escaped_equivalents""}","def 0(s):
    'Replace backslash and braces with their escaped equivalents'
    xlat = {'{': r'\{', '}': r'\}', '\\': r'\textbackslash{}'}
    return re.sub(r'[\\{}]', lambda mo: xlat[mo.group()], s)","def 1(classified_text, title = 'python',
                    commands = default_latex_commands,
                    document = default_latex_document):
    'Create a complete LaTeX document with colorized source code'
    macros = '\n'.join(r'\newcommand{\py%s}[1]{%s}' % c for c in commands.items())
    result = []
    for kind, text in classified_text:
        if kind:
            result.append(r'\py%s{' % kind)
        result.append(0(text))
        if kind:
            result.append('}')
    return default_latex_document % dict(title=title, macros=macros, body=''.join(result))","{""alltt_escape"": ""0""}"
