,func_name,func_definition,prompt,code,count,bad_name
0,str,"def str(val):
    """"""Convert float to string, taking the locale into account.""""""
    return _format(""%.12g"", val)

","def str(val):
    """"""Convert float to string, taking the locale into account.""""""
    return _format(""%.12g"", val)

def colnum2name(n):
    ""Translate a column number to name (e.g. 1->'A', etc.).""
    assert n > 0
    s = """"
    while n:
        n, m = divmod(n-1, 26)
        s = chr(m+ord('A')) + s
    return s","def cellname(x, y):
    ""Translate a cell coordinate to a fancy cell name (e.g. (1, 1)->'A1').""
    assert x > 0 # Column 0 has an empty name, so can't use that
    return colnum2name(x) + str(y)",1.0,locale_aware_float_to_string
1,colnum2name,"def colnum2name(n):
    ""Translate a column number to name (e.g. 1->'A', etc.).""
    assert n > 0
    s = """"
    while n:
        n, m = divmod(n-1, 26)
        s = chr(m+ord('A')) + s
    return s","def str(val):
    """"""Convert float to string, taking the locale into account.""""""
    return _format(""%.12g"", val)

def colnum2name(n):
    ""Translate a column number to name (e.g. 1->'A', etc.).""
    assert n > 0
    s = """"
    while n:
        n, m = divmod(n-1, 26)
        s = chr(m+ord('A')) + s
    return s","def cellname(x, y):
    ""Translate a cell coordinate to a fancy cell name (e.g. (1, 1)->'A1').""
    assert x > 0 # Column 0 has an empty name, so can't use that
    return colnum2name(x) + str(y)",1.0,convert_column_number_to_name
2,cellname,"def cellname(x, y):
    ""Translate a cell coordinate to a fancy cell name (e.g. (1, 1)->'A1').""
    assert x > 0 # Column 0 has an empty name, so can't use that
    return colnum2name(x) + str(y)","def cellname(x, y):
    ""Translate a cell coordinate to a fancy cell name (e.g. (1, 1)->'A1').""
    assert x > 0 # Column 0 has an empty name, so can't use that
    return colnum2name(x) + str(y)","def test_basic():
    ""Basic non-gui self-test.""
    a = Sheet()
    for x in range(1, 11):
        for y in range(1, 11):
            if x == 1:
                cell = NumericCell(y)
            elif y == 1:
                cell = NumericCell(x)
            else:
                c1 = cellname(x, 1)
                c2 = cellname(1, y)
                formula = ""%s*%s"" % (c1, c2)
                cell = FormulaCell(formula)
            a.setcell(x, y, cell)
##    if os.path.isfile(""sheet1.xml""):
##        print ""Loading from sheet1.xml""
##        a.load(""sheet1.xml"")
    a.display()
    a.save(""sheet1.xml"")",2.0,generate_cell_name
3,erase_menu,"def erase_menu(stdscr, menu_y):
    ""Clear the space where the menu resides""
    stdscr.move(menu_y, 0)
    stdscr.clrtoeol()
    stdscr.move(menu_y + 1, 0)
    stdscr.clrtoeol()","def erase_menu(stdscr, menu_y):
    ""Clear the space where the menu resides""
    stdscr.move(menu_y, 0)
    stdscr.clrtoeol()
    stdscr.move(menu_y + 1, 0)
    stdscr.clrtoeol()","def display_menu(stdscr, menu_y):
    ""Display the menu of possible keystroke commands""
    erase_menu(stdscr, menu_y)

    # If color, then light the menu up :-)
    if curses.has_colors():
        stdscr.attrset(curses.color_pair(1))
    stdscr.addstr(menu_y, 4,
        'Use the cursor keys to move, and space or Enter to toggle a cell.')
    stdscr.addstr(menu_y + 1, 4,
        'E)rase the board, R)andom fill, S)tep once or C)ontinuously, Q)uit')
    stdscr.attrset(0)",1.0,erase_menu_clears_menu_space
4,has_pairs,"def has_pairs(profile):
    """"""Returns True if the Python that produced the argument profile
    was built with -DDXPAIRS.""""""

    return len(profile) > 0 and isinstance(profile[0], list)","def has_pairs(profile):
    """"""Returns True if the Python that produced the argument profile
    was built with -DDXPAIRS.""""""

    return len(profile) > 0 and isinstance(profile[0], list)","def merge_profile():
    """"""Reads sys.getdxp() and merges it into this module's cached copy.

    We need this because sys.getdxp() 0s itself every time it's called.""""""

    with _profile_lock:
        new_profile = sys.getdxp()
        if has_pairs(new_profile):
            for first_inst in range(len(_cumulative_profile)):
                for second_inst in range(len(_cumulative_profile[first_inst])):
                    _cumulative_profile[first_inst][second_inst] += (
                        new_profile[first_inst][second_inst])
        else:
            for inst in range(len(_cumulative_profile)):
                _cumulative_profile[inst] += new_profile[inst]",1.0,check_for_pairs
5,merge_profile,"def merge_profile():
    """"""Reads sys.getdxp() and merges it into this module's cached copy.

    We need this because sys.getdxp() 0s itself every time it's called.""""""

    with _profile_lock:
        new_profile = sys.getdxp()
        if has_pairs(new_profile):
            for first_inst in range(len(_cumulative_profile)):
                for second_inst in range(len(_cumulative_profile[first_inst])):
                    _cumulative_profile[first_inst][second_inst] += (
                        new_profile[first_inst][second_inst])
        else:
            for inst in range(len(_cumulative_profile)):
                _cumulative_profile[inst] += new_profile[inst]","def merge_profile():
    """"""Reads sys.getdxp() and merges it into this module's cached copy.

    We need this because sys.getdxp() 0s itself every time it's called.""""""

    with _profile_lock:
        new_profile = sys.getdxp()
        if has_pairs(new_profile):
            for first_inst in range(len(_cumulative_profile)):
                for second_inst in range(len(_cumulative_profile[first_inst])):
                    _cumulative_profile[first_inst][second_inst] += (
                        new_profile[first_inst][second_inst])
        else:
            for inst in range(len(_cumulative_profile)):
                _cumulative_profile[inst] += new_profile[inst]","def snapshot_profile():
    """"""Returns the cumulative execution profile until this call.""""""
    with _profile_lock:
        merge_profile()
        return copy.deepcopy(_cumulative_profile)",1.0,merge_profile_into_module_cached_copy
7,enumerate,"def enumerate():
    """"""Return a list of all Thread objects currently alive.

    The list includes daemonic threads, dummy thread objects created by
    current_thread(), and the main thread. It excludes terminated threads and
    threads that have not yet been started.

    """"""
    with _active_limbo_lock:
        return list(_active.values()) + list(_limbo.values())","def has_pairs(profile):
    """"""Returns True if the Python that produced the argument profile
    was built with -DDXPAIRS.""""""

    return len(profile) > 0 and isinstance(profile[0], list)

def enumerate():
    """"""Return a list of all Thread objects currently alive.

    The list includes daemonic threads, dummy thread objects created by
    current_thread(), and the main thread. It excludes terminated threads and
    threads that have not yet been started.

    """"""
    with _active_limbo_lock:
        return list(_active.values()) + list(_limbo.values())","def common_instructions(profile):
    """"""Returns the most common opcodes in order of descending frequency.

    The result is a list of tuples of the form
      (opcode, opname, # of occurrences)

    """"""
    if has_pairs(profile) and profile:
        inst_list = profile[-1]
    else:
        inst_list = profile
    result = [(op, opcode.opname[op], count)
              for op, count in enumerate(inst_list)
              if count > 0]
    result.sort(key=operator.itemgetter(2), reverse=True)
    return result",1.0,get_alive_threads
10,common_pairs,"def common_pairs(profile):
    """"""Returns the most common opcode pairs in order of descending frequency.

    The result is a list of tuples of the form
      ((1st opcode, 2nd opcode),
       (1st opname, 2nd opname),
       # of occurrences of the pair)

    """"""
    if not has_pairs(profile):
        return []
    result = [((op1, op2), (opcode.opname[op1], opcode.opname[op2]), count)
              # Drop the row of single-op profiles with [:-1]
              for op1, op1profile in enumerate(profile[:-1])
              for op2, count in enumerate(op1profile)
              if count > 0]
    result.sort(key=operator.itemgetter(2), reverse=True)
    return result

","def common_pairs(profile):
    """"""Returns the most common opcode pairs in order of descending frequency.

    The result is a list of tuples of the form
      ((1st opcode, 2nd opcode),
       (1st opname, 2nd opname),
       # of occurrences of the pair)

    """"""
    if not has_pairs(profile):
        return []
    result = [((op1, op2), (opcode.opname[op1], opcode.opname[op2]), count)
              # Drop the row of single-op profiles with [:-1]
              for op1, op1profile in enumerate(profile[:-1])
              for op2, count in enumerate(op1profile)
              if count > 0]
    result.sort(key=operator.itemgetter(2), reverse=True)
    return result

def snapshot_profile():
    """"""Returns the cumulative execution profile until this call.""""""
    with _profile_lock:
        merge_profile()
        return copy.deepcopy(_cumulative_profile)","def render_common_pairs(profile=None):
    """"""Renders the most common opcode pairs to a string in order of
    descending frequency.

    The result is a series of lines of the form:
      # of occurrences: ('1st opname', '2nd opname')

    """"""
    if profile is None:
        profile = snapshot_profile()
    def seq():
        for _, ops, count in common_pairs(profile):
            yield ""%s: %s\n"" % (count, ops)
    return ''.join(seq())",2.0,find_most_common_opcode_pairs
11,snapshot_profile,"def snapshot_profile():
    """"""Returns the cumulative execution profile until this call.""""""
    with _profile_lock:
        merge_profile()
        return copy.deepcopy(_cumulative_profile)","def common_pairs(profile):
    """"""Returns the most common opcode pairs in order of descending frequency.

    The result is a list of tuples of the form
      ((1st opcode, 2nd opcode),
       (1st opname, 2nd opname),
       # of occurrences of the pair)

    """"""
    if not has_pairs(profile):
        return []
    result = [((op1, op2), (opcode.opname[op1], opcode.opname[op2]), count)
              # Drop the row of single-op profiles with [:-1]
              for op1, op1profile in enumerate(profile[:-1])
              for op2, count in enumerate(op1profile)
              if count > 0]
    result.sort(key=operator.itemgetter(2), reverse=True)
    return result

def snapshot_profile():
    """"""Returns the cumulative execution profile until this call.""""""
    with _profile_lock:
        merge_profile()
        return copy.deepcopy(_cumulative_profile)","def render_common_pairs(profile=None):
    """"""Renders the most common opcode pairs to a string in order of
    descending frequency.

    The result is a series of lines of the form:
      # of occurrences: ('1st opname', '2nd opname')

    """"""
    if profile is None:
        profile = snapshot_profile()
    def seq():
        for _, ops, count in common_pairs(profile):
            yield ""%s: %s\n"" % (count, ops)
    return ''.join(seq())",1.0,get_cumulative_execution_profile
12,html_highlight,"def html_highlight(classified_text,opener='<pre class=""python"">\n', closer='</pre>\n'):
    'Convert classified text to an HTML fragment'
    result = [opener]
    for kind, text in classified_text:
        if kind:
            result.append('<span class=""%s"">' % kind)
        result.append(html_module.escape(text))
        if kind:
            result.append('</span>')
    result.append(closer)
    return ''.join(result)","def html_highlight(classified_text,opener='<pre class=""python"">\n', closer='</pre>\n'):
    'Convert classified text to an HTML fragment'
    result = [opener]
    for kind, text in classified_text:
        if kind:
            result.append('<span class=""%s"">' % kind)
        result.append(html_module.escape(text))
        if kind:
            result.append('</span>')
    result.append(closer)
    return ''.join(result)","def build_html_page(classified_text, title='python',
                    css=default_css, html=default_html):
    'Create a complete HTML page with colorized source code'
    css_str = '\n'.join(['%s %s' % item for item in css.items()])
    result = html_highlight(classified_text)
    title = html_module.escape(title)
    return html.format(title=title, css=css_str, body=result)",1.0,convert_classified_text_to_html
