,model_name,dataset_name,layers_window,layers_uniform,accuracy,f1,train_len,val_len,test_len,n_layers
0,Both,sst2,[],[],0.8176605504587156,0.8176065512614085,2000,872,1000,0
1,Both,sst2,[11],[0],0.8142201834862385,0.8141732377778877,2000,872,1000,2
2,Both,sst2,"[10, 11]","[0, 1]",0.7740825688073395,0.7736938053751042,2000,872,1000,4
3,Both,sst2,"[9, 10, 11]","[0, 1, 2]",0.7396788990825688,0.7391786348374583,2000,872,1000,6
4,Both,sst2,"[8, 9, 10, 11]","[0, 1, 2, 3]",0.7155963302752294,0.7136650601302517,2000,872,1000,8
5,Both,sst2,"[7, 8, 9, 10, 11]","[0, 1, 2, 3, 4]",0.6708715596330275,0.6691700193266593,2000,872,1000,10
6,Both,sst2,"[7, 8, 9, 10]",[0],0.75,0.7498617482395942,2000,872,1000,5
7,Both,sst2,"[7, 8, 9]","[0, 1]",0.7740825688073395,0.7738512982210707,2000,872,1000,5
8,Both,sst2,"[7, 8]","[0, 1, 2]",0.7752293577981652,0.7751903135492236,2000,872,1000,5
9,Both,sst2,[7],"[0, 1, 2, 3]",0.7694954128440367,0.7689524464696612,2000,872,1000,5
10,Both,sst2,[0],[11],0.8348623853211009,0.8347710630573466,2000,872,1000,2
11,Both,sst2,"[0, 1]","[10, 11]",0.8176605504587156,0.8176219159147878,2000,872,1000,4
12,Both,sst2,"[0, 1, 2]","[9, 10, 11]",0.8061926605504587,0.8061352651772205,2000,872,1000,6
13,Both,sst2,"[0, 1, 2, 3]","[8, 9, 10, 11]",0.8061926605504587,0.8061515961610011,2000,872,1000,8
14,Both,sst2,"[0, 1, 2, 3, 4]","[7, 8, 9, 10, 11]",0.7901376146788991,0.7899825592680705,2000,872,1000,10
15,Both,sst2,"[2, 3]","[0, 8]",0.8497706422018348,0.8497593753409707,2000,872,1000,4
16,Both,sst2,"[0, 10]","[0, 2, 8]",0.823394495412844,0.8231710572744492,2000,872,1000,5
17,Both,sst2,"[0, 3]","[2, 8]",0.8314220183486238,0.8313561099289458,2000,872,1000,4
18,Both,sst2,[2],"[3, 8, 11]",0.8165137614678899,0.8163900455042779,2000,872,1000,4
19,Both,sst2,[],"[0, 3, 8, 11]",0.8360091743119266,0.8358153319838093,2000,872,1000,4
20,Both,sst2,[1],"[2, 8, 10]",0.823394495412844,0.823226983921024,2000,872,1000,4
21,Both,sst2,"[1, 10]","[0, 3, 9]",0.8107798165137615,0.8101455851716943,2000,872,1000,5
22,Both,sst2,"[0, 3, 7]","[0, 9, 10]",0.8119266055045872,0.811799796641885,2000,872,1000,6
23,Both,sst2,"[0, 7]","[8, 9, 10]",0.8061926605504587,0.8059308288153322,2000,872,1000,5
24,Both,sst2,"[1, 2]","[3, 8]",0.805045871559633,0.8048311224999232,2000,872,1000,4
25,Both,sst2,"[0, 3, 7]","[3, 8, 11]",0.819954128440367,0.8198438850973615,2000,872,1000,6
26,Both,sst2,"[0, 7, 9]","[0, 2, 8]",0.8038990825688074,0.8036672850995201,2000,872,1000,6
27,Both,sst2,"[1, 3, 10]","[0, 3, 8, 11]",0.8256880733944955,0.8251724448083568,2000,872,1000,7
28,Both,sst2,"[0, 4, 11]","[2, 8, 10]",0.8245412844036697,0.8242393513826952,2000,872,1000,6
29,Both,sst2,"[0, 2, 3]","[0, 9, 10]",0.8188073394495413,0.8188140133177101,2000,872,1000,6
30,Both,sst2,"[0, 3, 9]","[0, 3, 9]",0.8130733944954128,0.812909652522176,2000,872,1000,6
31,Both,sst2,"[0, 2, 5]","[8, 9, 10]",0.805045871559633,0.8049791510915131,2000,872,1000,6
32,Both,sst2,"[0, 1, 7]","[0, 1, 8]",0.8188073394495413,0.8187453286615238,2000,872,1000,6
33,Both,sst2,"[0, 1, 3]","[2, 8, 9]",0.819954128440367,0.8197413085416646,2000,872,1000,6
34,Both,sst2,"[0, 1, 2, 3, 9]","[2, 8, 9]",0.7958715596330275,0.795577725754563,2000,872,1000,8
35,Both,sst2,"[0, 3, 7]","[0, 2, 8]",0.8142201834862385,0.8138820759216453,2000,872,1000,6
36,Both,sst2,"[0, 7, 9]","[3, 8, 11]",0.805045871559633,0.8046085724236852,2000,872,1000,6
37,Both,sst2,"[1, 3, 10]","[0, 3, 8, 11]",0.8256880733944955,0.8251724448083568,2000,872,1000,7
38,Both,sst2,"[0, 4, 11]","[2, 8, 10]",0.8245412844036697,0.8242393513826952,2000,872,1000,6
39,Both,sst2,"[0, 2, 3]","[0, 9, 10]",0.8188073394495413,0.8188140133177101,2000,872,1000,6
40,Both,sst2,"[0, 3, 9]","[0, 3, 9]",0.8130733944954128,0.812909652522176,2000,872,1000,6
41,Both,sst2,"[0, 2, 5]","[8, 9, 10]",0.805045871559633,0.8049791510915131,2000,872,1000,6
42,Both,sst2,"[0, 1, 7]","[0, 1, 8]",0.8188073394495413,0.8187453286615238,2000,872,1000,6
