,model_name,dataset_name,layers_window,layers_uniform,n_layers,accuracy,f1,train_len,val_len,test_len
0,Uniform,mrpc,[],[],0,0.6519607843137255,0.6453060764721128,1000,408,1000
1,Uniform,mrpc,[],[0],1,0.6985294117647058,0.6888198745660411,1000,408,1000
2,Uniform,mrpc,[],[1],1,0.6740196078431373,0.6690819585277192,1000,408,1000
3,Uniform,mrpc,[],[2],1,0.6568627450980392,0.6512178756633915,1000,408,1000
4,Uniform,mrpc,[],[3],1,0.6225490196078431,0.6109750535159874,1000,408,1000
5,Uniform,mrpc,[],[4],1,0.6691176470588235,0.6687698662433448,1000,408,1000
6,Uniform,mrpc,[],[5],1,0.7083333333333334,0.6998333760574212,1000,408,1000
7,Uniform,mrpc,[],[6],1,0.6813725490196079,0.6744025735294118,1000,408,1000
8,Uniform,mrpc,[],[7],1,0.696078431372549,0.6918648845931185,1000,408,1000
9,Uniform,mrpc,[],[8],1,0.6740196078431373,0.6722459727858737,1000,408,1000
10,Uniform,mrpc,[],[9],1,0.6617647058823529,0.6603051201706337,1000,408,1000
11,Uniform,mrpc,[],[10],1,0.6887254901960784,0.6855704798653062,1000,408,1000
12,Uniform,mrpc,[],[11],1,0.6617647058823529,0.6562004774396288,1000,408,1000
13,Uniform,mrpc,[],"[3, 8]",2,0.6421568627450981,0.6389602993140719,1000,408,1000
14,Uniform,mrpc,[],"[7, 9]",2,0.6813725490196079,0.6777534275863912,1000,408,1000
15,Uniform,mrpc,[],"[6, 10]",2,0.6911764705882353,0.689142678347935,1000,408,1000
16,Uniform,mrpc,[],"[2, 11]",2,0.6666666666666666,0.6574517825832845,1000,408,1000
17,Uniform,mrpc,[],"[1, 10]",2,0.6887254901960784,0.6796541072209452,1000,408,1000
18,Uniform,mrpc,[],"[3, 7]",2,0.6519607843137255,0.6433587275740745,1000,408,1000
19,Uniform,mrpc,[],"[8, 9]",2,0.7205882352941176,0.7111513240156714,1000,408,1000
20,Uniform,mrpc,[],"[4, 5]",2,0.696078431372549,0.6838366925717655,1000,408,1000
21,Uniform,mrpc,[],"[1, 6]",2,0.6691176470588235,0.6649481569592895,1000,408,1000
22,Uniform,mrpc,[],"[6, 7]",2,0.6936274509803921,0.6897668119993422,1000,408,1000
23,Uniform,mrpc,[],"[2, 5, 11]",3,0.6862745098039216,0.6842084351471084,1000,408,1000
24,Uniform,mrpc,[],"[1, 8, 10]",3,0.7034313725490197,0.689962841312498,1000,408,1000
25,Uniform,mrpc,[],"[2, 4, 9]",3,0.6617647058823529,0.6587432966119309,1000,408,1000
26,Uniform,mrpc,[],"[1, 9, 10]",3,0.6887254901960784,0.6767050325333857,1000,408,1000
27,Uniform,mrpc,[],"[1, 2, 5]",3,0.6691176470588235,0.6540907733651836,1000,408,1000
28,Uniform,mrpc,[],"[3, 7, 9]",3,0.6642156862745098,0.6573364391760673,1000,408,1000
29,Uniform,mrpc,[],"[4, 6, 10]",3,0.6862745098039216,0.6785205431653631,1000,408,1000
30,Uniform,mrpc,[],"[2, 5, 6]",3,0.696078431372549,0.692626346313173,1000,408,1000
31,Uniform,mrpc,[],"[4, 5, 10]",3,0.7009803921568627,0.6908812414904555,1000,408,1000
32,Uniform,mrpc,[],"[2, 9, 11]",3,0.6985294117647058,0.691509825107247,1000,408,1000
33,Uniform,mrpc,[],"[1, 3, 4, 8]",4,0.6544117647058824,0.6410662172221052,1000,408,1000
34,Uniform,mrpc,[],"[2, 3, 6, 9]",4,0.6593137254901961,0.6472654796184208,1000,408,1000
35,Uniform,mrpc,[],"[4, 5, 6, 10]",4,0.7401960784313726,0.7314214065408875,1000,408,1000
36,Uniform,mrpc,[],"[4, 8, 9, 11]",4,0.7083333333333334,0.7015420259167675,1000,408,1000
37,Uniform,mrpc,[],"[3, 5, 9, 10]",4,0.6838235294117647,0.675549481286579,1000,408,1000
38,Uniform,mrpc,[],"[2, 5, 7, 10]",4,0.7034313725490197,0.6929433311786254,1000,408,1000
39,Uniform,mrpc,[],"[2, 4, 7, 9]",4,0.6666666666666666,0.6584280771131983,1000,408,1000
