,model_name,dataset_name,layers,accuracy,f1,train_len,val_len,test_len,n_layers
0,Window,sst2,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",0.6892201834862385,0.6865368137153796,1000,872,1000,12.0
1,Window,sst2,[],0.819954128440367,0.8194880756348647,1000,872,1000,0.0
2,Window,sst2,[0],0.8130733944954128,0.812882038629617,1000,872,1000,1.0
3,Window,sst2,[1],0.8119266055045872,0.8116886583961669,1000,872,1000,1.0
4,Window,sst2,[2],0.819954128440367,0.8196081307025592,1000,872,1000,1.0
5,Window,sst2,[3],0.8222477064220184,0.8218290010089427,1000,872,1000,1.0
6,Window,sst2,[4],0.7855504587155964,0.7837908566666019,1000,872,1000,1.0
7,Window,sst2,[5],0.786697247706422,0.7854082863510445,1000,872,1000,1.0
8,Window,sst2,[6],0.7821100917431193,0.780368102165986,1000,872,1000,1.0
9,Window,sst2,[7],0.8038990825688074,0.8038017476636454,1000,872,1000,1.0
10,Window,sst2,[8],0.8188073394495413,0.8187271910372915,1000,872,1000,1.0
11,Window,sst2,[9],0.8222477064220184,0.8220657422551572,1000,872,1000,1.0
12,Window,sst2,[10],0.8096330275229358,0.8095277532466635,1000,872,1000,1.0
13,Window,sst2,[11],0.8142201834862385,0.8136223662118898,1000,872,1000,1.0
14,Window,sst2,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.694954128440367,0.6923861402359108,1000,872,1000,11.0
15,Window,sst2,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11]",0.6880733944954128,0.6857082563741136,1000,872,1000,11.0
16,Window,sst2,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11]",0.6961009174311926,0.6930654009674531,1000,872,1000,11.0
17,Window,sst2,"[0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11]",0.716743119266055,0.7157155282015857,1000,872,1000,11.0
18,Window,sst2,"[0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11]",0.6869266055045872,0.6842234322667845,1000,872,1000,11.0
19,Window,sst2,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]",0.694954128440367,0.6936226283158388,1000,872,1000,11.0
20,Window,sst2,"[0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 11]",0.7155963302752294,0.7152365078185938,1000,872,1000,11.0
21,Window,sst2,"[0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11]",0.7098623853211009,0.7089668361713396,1000,872,1000,11.0
22,Window,sst2,"[0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11]",0.7087155963302753,0.7075324152034117,1000,872,1000,11.0
23,Window,sst2,"[0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11]",0.7029816513761468,0.7012402926210203,1000,872,1000,11.0
24,Window,sst2,"[0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",0.694954128440367,0.6932198020314085,1000,872,1000,11.0
25,Window,sst2,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",0.7052752293577982,0.7031000796228413,1000,872,1000,11.0
26,Window,sst2,"[3, 9]",0.8245412844036697,0.8244893229119212,1000,872,1000,2.0
27,Window,sst2,"[7, 10]",0.8073394495412844,0.8071272269411007,1000,872,1000,2.0
28,Window,sst2,"[7, 8]",0.8073394495412844,0.8071272269411007,1000,872,1000,2.0
29,Window,sst2,"[5, 10]",0.7821100917431193,0.7811590202255991,1000,872,1000,2.0
30,Window,sst2,"[6, 11]",0.7821100917431193,0.780368102165986,1000,872,1000,2.0
31,Window,sst2,"[2, 9]",0.8256880733944955,0.8254371590713122,1000,872,1000,2.0
32,Window,sst2,"[2, 6]",0.8027522935779816,0.8023526359203937,1000,872,1000,2.0
33,Window,sst2,"[3, 6]",0.7912844036697247,0.7904975888539398,1000,872,1000,2.0
34,Window,sst2,"[2, 11]",0.8119266055045872,0.81146193256285,1000,872,1000,2.0
35,Window,sst2,"[5, 10]",0.7821100917431193,0.7811590202255991,1000,872,1000,2.0
36,Window,sst2,"[4, 10]",0.8004587155963303,0.7995877343118645,1000,872,1000,2.0
37,Window,sst2,"[1, 8]",0.8256880733944955,0.8251724448083568,1000,872,1000,2.0
38,Window,sst2,"[3, 5, 10]",0.8038990825688074,0.8030730903872446,1000,872,1000,3.0
39,Window,sst2,"[2, 4, 6]",0.7672018348623854,0.7657525065636116,1000,872,1000,3.0
40,Window,sst2,"[2, 4, 7]",0.7947247706422018,0.7944821288468661,1000,872,1000,3.0
41,Window,sst2,"[0, 6, 10]",0.805045871559633,0.8038677886004172,1000,872,1000,3.0
42,Window,sst2,"[2, 8, 9]",0.8279816513761468,0.8278865240180694,1000,872,1000,3.0
43,Window,sst2,"[0, 2, 10]",0.8222477064220184,0.8218685086580638,1000,872,1000,3.0
44,Window,sst2,"[0, 10, 11]",0.8061926605504587,0.8058960225296675,1000,872,1000,3.0
45,Window,sst2,"[4, 7, 10]",0.7901376146788991,0.7894341944631519,1000,872,1000,3.0
46,Window,sst2,"[4, 5, 10]",0.7821100917431193,0.7811590202255991,1000,872,1000,3.0
47,Window,sst2,"[1, 6, 11]",0.7889908256880734,0.7874755778954664,1000,872,1000,3.0
48,Window,sst2,"[5, 6, 10]",0.7649082568807339,0.763612699943664,1000,872,1000,3.0
49,Window,sst2,"[3, 5, 6]",0.7649082568807339,0.7642424276121959,1000,872,1000,3.0
50,Window,sst2,"[0, 1, 3, 11]",0.7958715596330275,0.7955000587287214,1000,872,1000,4.0
51,Window,sst2,"[2, 4, 8, 9]",0.7912844036697247,0.7906670062836904,1000,872,1000,4.0
52,Window,sst2,"[0, 5, 8, 9]",0.8119266055045872,0.8115843237725298,1000,872,1000,4.0
53,Window,sst2,"[0, 1, 5, 11]",0.7889908256880734,0.7880035698920971,1000,872,1000,4.0
54,Window,sst2,"[2, 6, 9, 11]",0.8073394495412844,0.8069072951010537,1000,872,1000,4.0
55,Window,sst2,"[0, 2, 4, 9]",0.8073394495412844,0.8070621231840819,1000,872,1000,4.0
56,Window,sst2,"[1, 3, 9, 10]",0.7993119266055045,0.7987435357665086,1000,872,1000,4.0
57,Window,sst2,"[4, 9, 10, 11]",0.7901376146788991,0.7898164030942552,1000,872,1000,4.0
58,Window,sst2,"[1, 6, 7, 9]",0.7844036697247706,0.7838196138046198,1000,872,1000,4.0
59,Window,sst2,"[2, 4, 7, 9]",0.7901376146788991,0.7899825592680705,1000,872,1000,4.0
60,Window,sst2,"[2, 6, 7, 10]",0.7798165137614679,0.7791651934421349,1000,872,1000,4.0
61,Window,sst2,"[0, 2, 5, 6]",0.7706422018348624,0.7700208657495955,1000,872,1000,4.0
62,Window,sst2,"[0, 2, 3, 9, 11]",0.801605504587156,0.8014589221495968,1000,872,1000,5.0
63,Window,sst2,"[3, 4, 7, 9, 10]",0.7786697247706422,0.7784431500338408,1000,872,1000,5.0
64,Window,sst2,"[0, 3, 6, 7, 10]",0.7660550458715596,0.7649604796629773,1000,872,1000,5.0
65,Window,sst2,"[0, 1, 4, 7, 10]",0.7706422018348624,0.7700208657495955,1000,872,1000,5.0
66,Window,sst2,"[0, 1, 5, 8, 10]",0.7947247706422018,0.794371528741846,1000,872,1000,5.0
67,Window,sst2,"[0, 1, 3, 8, 9]",0.7947247706422018,0.7945990791874377,1000,872,1000,5.0
68,Window,sst2,"[1, 4, 7, 9, 11]",0.7729357798165137,0.7718734067317133,1000,872,1000,5.0
69,Window,sst2,"[1, 5, 7, 8, 9]",0.7649082568807339,0.7643544852053759,1000,872,1000,5.0
70,Window,sst2,"[0, 2, 5, 6, 11]",0.7844036697247706,0.7836515736023281,1000,872,1000,5.0
71,Window,sst2,"[0, 4, 7, 9, 10]",0.805045871559633,0.8046508610841102,1000,872,1000,5.0
72,Window,sst2,"[0, 3, 5, 7, 8]",0.786697247706422,0.7864949286318861,1000,872,1000,5.0
73,Window,sst2,"[5, 6, 7, 9, 11]",0.7649082568807339,0.7642424276121959,1000,872,1000,5.0
74,Window,sst2,"[4, 5, 6, 8, 9, 10]",0.7282110091743119,0.7267132189592603,1000,872,1000,6.0
75,Window,sst2,"[1, 2, 4, 6, 8, 11]",0.7568807339449541,0.7552298094661829,1000,872,1000,6.0
76,Window,sst2,"[0, 3, 4, 7, 10, 11]",0.7798165137614679,0.779415793684913,1000,872,1000,6.0
77,Window,sst2,"[0, 5, 6, 7, 8, 9]",0.7373853211009175,0.73719129001305,1000,872,1000,6.0
78,Window,sst2,"[0, 1, 3, 6, 10, 11]",0.7763761467889908,0.7755007672296779,1000,872,1000,6.0
