,model_name,dataset_name,layers,accuracy,f1,n_layers,train_len,val_len,test_len
0,Window,sst2,[0],0.8176605504587156,0.8173101451064136,1,1000,872,1000
1,Window,sst2,[1],0.8211009174311926,0.8206589114622231,1,1000,872,1000
2,Window,sst2,[2],0.819954128440367,0.8195700378020389,1,1000,872,1000
3,Window,sst2,[3],0.8096330275229358,0.8090699068301791,1,1000,872,1000
4,Window,sst2,[4],0.7935779816513762,0.7921762533203439,1,1000,872,1000
5,Window,sst2,[5],0.8142201834862385,0.8137169012571726,1,1000,872,1000
6,Window,sst2,[6],0.7993119266055045,0.798883800097814,1,1000,872,1000
7,Window,sst2,[7],0.8165137614678899,0.8164818886116112,1,1000,872,1000
8,Window,sst2,[8],0.7970183486238532,0.7969753403579715,1,1000,872,1000
9,Window,sst2,[9],0.8119266055045872,0.8115843237725298,1,1000,872,1000
10,Window,sst2,[10],0.8130733944954128,0.8127872880019869,1,1000,872,1000
11,Window,sst2,[11],0.8027522935779816,0.8025350180587457,1,1000,872,1000
12,Window,sst2,"[0, 1]",0.8084862385321101,0.8079905008345375,2,1000,872,1000
13,Window,sst2,"[0, 2]",0.8176605504587156,0.8173814649835331,2,1000,872,1000
14,Window,sst2,"[0, 3]",0.8188073394495413,0.8184402120664083,2,1000,872,1000
15,Window,sst2,"[0, 4]",0.8004587155963303,0.7997064860471732,2,1000,872,1000
16,Window,sst2,"[0, 5]",0.8119266055045872,0.8116211047688501,2,1000,872,1000
17,Window,sst2,"[0, 6]",0.8142201834862385,0.8140439700987395,2,1000,872,1000
18,Window,sst2,"[0, 7]",0.823394495412844,0.8233638177886758,2,1000,872,1000
19,Window,sst2,"[0, 8]",0.8004587155963303,0.8003904252348427,2,1000,872,1000
20,Window,sst2,"[0, 9]",0.8119266055045872,0.8116211047688501,2,1000,872,1000
21,Window,sst2,"[0, 10]",0.8176605504587156,0.8173467769271145,2,1000,872,1000
22,Window,sst2,"[0, 11]",0.8119266055045872,0.8118622398765184,2,1000,872,1000
23,Window,sst2,"[1, 2]",0.8245412844036697,0.8244541952779983,2,1000,872,1000
