,model_name,dataset_name,layers,accuracy,f1,n_layers,train_len,val_len,test_len
0,Window,sst2,[0],0.8681192660550459,0.8680218268624487,1,67349,872,1821
1,Window,sst2,[1],0.8600917431192661,0.8599147336849533,1,67349,872,1821
2,Window,sst2,[2],0.856651376146789,0.8564577136208077,1,67349,872,1821
3,Window,sst2,[3],0.8658256880733946,0.865743532206314,1,67349,872,1821
4,Window,sst2,[4],0.8486238532110092,0.8485401411359009,1,67349,872,1821
5,Window,sst2,[5],0.8474770642201835,0.8474174327928559,1,67349,872,1821
6,Window,sst2,[6],0.8451834862385321,0.8449743307104725,1,67349,872,1821
7,Window,sst2,[7],0.8623853211009175,0.8621872308457729,1,67349,872,1821
8,Window,sst2,[8],0.8371559633027523,0.8370015046544507,1,67349,872,1821
9,Window,sst2,[9],0.841743119266055,0.8416364142474397,1,67349,872,1821
10,Window,sst2,[10],0.856651376146789,0.8565258071489079,1,67349,872,1821
11,Window,sst2,[11],0.841743119266055,0.8416556020966239,1,67349,872,1821
12,Original,sst2,[],0.8612385321100917,0.8611535674954188,0,67349,872,1821
