,dataset_name,model_name,layers,accuracy,perplexity,test_len,n_layers
0,['SQUAD'],Uniform,[],0.05,tensor(2.2121),2000,0
1,['SQUAD'],Uniform,[0],0.0,tensor(6.2571),2000,1
2,['SQUAD'],Uniform,[1],0.042,tensor(2.0914),2000,1
3,['SQUAD'],Uniform,[2],0.0445,tensor(2.2065),2000,1
4,['SQUAD'],Uniform,[3],0.0455,tensor(2.3010),2000,1
5,['SQUAD'],Uniform,[4],0.045,tensor(2.3490),2000,1
6,['SQUAD'],Uniform,[5],0.028,tensor(2.7304),2000,1
7,['SQUAD'],Uniform,[6],0.03,tensor(2.3202),2000,1
8,['SQUAD'],Uniform,[7],0.036,tensor(3.0163),2000,1
9,['SQUAD'],Uniform,[8],0.0415,tensor(2.3133),2000,1
10,['SQUAD'],Uniform,[9],0.042,tensor(2.5781),2000,1
11,['SQUAD'],Uniform,[10],0.045,tensor(2.3074),2000,1
12,['SQUAD'],Uniform,[11],0.0315,tensor(4.1072),2000,1
13,['SQUAD'],Uniform,"[0, 1]",0.0,tensor(4.7804),2000,2
14,['SQUAD'],Uniform,"[0, 7]",0.0,tensor(7.5835),2000,2
15,['SQUAD'],Uniform,"[5, 9]",0.0235,tensor(3.2249),2000,2
16,['SQUAD'],Uniform,"[5, 9]",0.0235,tensor(3.2249),2000,2
17,['SQUAD'],Uniform,"[9, 10]",0.029,tensor(3.1874),2000,2
18,['SQUAD'],Uniform,"[1, 2, 6]",0.018,tensor(2.3800),2000,3
19,['SQUAD'],Uniform,"[0, 2, 10]",0.0,tensor(6.3344),2000,3
20,['SQUAD'],Uniform,"[1, 7, 10]",0.021,tensor(2.9046),2000,3
21,['SQUAD'],Uniform,"[2, 7, 11]",0.0105,tensor(5.3010),2000,3
22,['SQUAD'],Uniform,"[0, 9, 11]",0.0,tensor(3.9083),2000,3
23,['SQUAD'],Uniform,"[1, 3, 10, 11]",0.018,tensor(5.4169),2000,4
24,['SQUAD'],Uniform,"[0, 7, 10, 11]",0.0,tensor(4.0937),2000,4
25,['SQUAD'],Uniform,"[0, 1, 2, 8]",0.0,tensor(5.5257),2000,4
26,['SQUAD'],Uniform,"[0, 1, 5, 9]",0.0,tensor(4.3327),2000,4
27,['SQUAD'],Uniform,"[1, 4, 9, 10]",0.027,tensor(3.2776),2000,4
