,layer,head,model_name,features,r2,mse,explained_variance_score,max_error,mean_absolute_percentage_error
0,0,0,Ridge,pos,0.1721715899073357,0.0001074335815616,0.1721716531418267,0.14880754933209,0.6612008204824616
1,0,0,Ridge,"emb_from, pos",0.1657226650485301,0.0001082705075313,0.1657227278933123,0.1503729677453581,0.6667320201147742
2,0,0,Ridge,"emb_to, pos",0.3529894399870005,8.396747553355176e-05,0.3529895141483307,0.1331145840400499,0.530735813078237
3,0,0,Ridge,"emb_to, emb_from, pos",0.3484831398686159,8.45522923330329e-05,0.3484832137576299,0.1348298645832803,0.5329529589324026
4,0,0,Ridge,"emb_to, pos, st_to, st_from",0.3529069900964577,8.397817568219656e-05,0.3529070642528055,0.1331315585090743,0.530606964849955
5,0,0,Ridge,"pos, st_to, st_from",0.1872654808990717,0.0001054747326635,0.187265545045688,0.1485322635171643,0.6446928065618076
6,0,0,Ridge,"pos, poly",0.1721715899073357,0.0001074335815616,0.1721716531418267,0.14880754933209,0.6612008204824616
7,0,0,Ridge,"emb_to, pos, st_to, st_from, poly",0.3520532945044559,8.408896624446047e-05,0.352054247272244,0.1348613364931948,0.5258479881819261
8,3,0,Ridge,pos,0.0010720213628809,0.0074216371773045,0.0011082407481263,0.9860447755160876,18769.39714885613
9,3,0,Ridge,"emb_from, pos",-0.0051288692625786,0.0074677073258863,-0.0050926496928462,0.9918651489449788,15140.799182769131
10,3,0,Ridge,"emb_to, pos",0.0698631248949714,0.0069105466659164,0.069899342233565,0.9907564966763152,21515.90281507852
11,3,0,Ridge,"emb_to, emb_from, pos",0.0643599381995816,0.0069514331520751,0.0643961557019041,1.0027476766932828,18585.73331639404
12,3,0,Ridge,"emb_to, pos, st_to, st_from",0.0703671874106475,0.0069068016821077,0.0704034047342444,0.9890163383834176,17732.91286817027
13,3,0,Ridge,"pos, st_to, st_from",0.0724539309051706,0.0068912980087402,0.0724901481666828,0.9905730896324734,12713.222448348108
14,3,0,Ridge,"pos, poly",0.0010720213628809,0.0074216371773045,0.0011082407481263,0.9860447755160876,18769.39714885613
15,3,0,Ridge,"emb_to, pos, st_to, st_from, poly",0.0726953726014905,0.0068895041930619,0.0727366059467035,0.9977014642624414,11205.408090189758
16,7,0,Ridge,pos,0.0110719598647879,0.0024672427031452,0.0111609718017156,0.7167526008880156,111.88278157145729
